"","teacher","posterior","p","prior"
"291","Josh",8.95825654100361e-06,0.909090909090909,1.71899367795972
"292","Josh",5.80404776148331e-07,0.919191919191919,1.67015336780563
"293","Josh",2.02227814989951e-08,0.929292929292929,1.61856687016356
"294","Josh",3.1502773369934e-10,0.939393939393939,1.5645777823896
"295","Josh",1.64742244040161e-12,0.94949494949495,1.50853673326131
"296","Josh",1.7889397056441e-15,0.95959595959596,1.45079763782514
"297","Josh",1.63865422204082e-19,0.96969696969697,1.39171404055856
"298","Josh",1.67469244584788e-25,0.97979797979798,1.33163559849518
"299","Josh",3.00066464388076e-36,0.98989898989899,1.27090475160574
"300","Josh",0,1,1.20985362259572
"301","Mikk",0,0,0.000669151128824427
